period	username	yob	agebin	total	v1abs	v2abs	v1rel	v2rel
	filiduttan	1980		11.0	1.0	10.0	0.09090909090909091	0.9090909090909091
	muffin	1985		18.0	13.0	5.0	0.7222222222222222	0.2777777777777778
	MissLillan	1961		41.0	35.0	6.0	0.8536585365853658	0.14634146341463414
	Pejo	1967		26.0	14.0	12.0	0.5384615384615384	0.46153846153846156
	Astarte	1980		108.0	48.0	60.0	0.4444444444444444	0.5555555555555556
	fruganL	1990		160.0	4.0	156.0	0.025	0.975
	soff82	1983		16.0	0.0	16.0	0.0	1.0
	ZezzA80	1981		24.0	4.0	20.0	0.16666666666666666	0.8333333333333334
	Maarriiiaaa	1989		17.0	1.0	16.0	0.058823529411764705	0.9411764705882353
	Majamjau	1979		14.0	13.0	1.0	0.9285714285714286	0.07142857142857142
	soffien	1986		12.0	12.0	0.0	1.0	0.0
	Zezana	1980		53.0	7.0	46.0	0.1320754716981132	0.8679245283018868
	Cynric	1986		46.0	1.0	45.0	0.021739130434782608	0.9782608695652174
	luzorsus	1978		47.0	7.0	40.0	0.14893617021276595	0.851063829787234
	Annsofie83	1984		24.0	0.0	24.0	0.0	1.0
	Klantus	1982		6.0	1.0	5.0	0.16666666666666666	0.8333333333333334
	swiitii	1988		128.0	78.0	50.0	0.609375	0.390625
	Xay1de	1982		61.0	33.0	28.0	0.5409836065573771	0.45901639344262296
	Tindrande	1983		3.0	1.0	2.0	0.3333333333333333	0.6666666666666666
	Softyy	1981		13.0	0.0	13.0	0.0	1.0
	Niiskuneiti	1988		52.0	50.0	2.0	0.9615384615384616	0.038461538461538464
	stardream	1981		25.0	16.0	9.0	0.64	0.36
	mazquE	1990		22.0	0.0	22.0	0.0	1.0
	Jenny28	1976		123.0	5.0	118.0	0.04065040650406504	0.959349593495935
	PreciousDivine	1987		9.0	1.0	8.0	0.1111111111111111	0.8888888888888888
	MrsElvisPresley	1991		6.0	0.0	6.0	0.0	1.0
	estrella81	1981		39.0	29.0	10.0	0.7435897435897436	0.2564102564102564
	LuMa	1979		117.0	110.0	7.0	0.9401709401709402	0.05982905982905983
	asplundskan	1988		26.0	9.0	17.0	0.34615384615384615	0.6538461538461539
	BeccaStina	1987		82.0	3.0	79.0	0.036585365853658534	0.9634146341463414
	Diana P	1982		9.0	7.0	2.0	0.7777777777777778	0.2222222222222222
	Maja Gräddnos	1979		22.0	21.0	1.0	0.9545454545454546	0.045454545454545456
	Saniis	1984		13.0	1.0	12.0	0.07692307692307693	0.9230769230769231
	Anatha	1979		129.0	45.0	84.0	0.3488372093023256	0.6511627906976745
