speaker	yob	behagav1	behagav2	fortsättav1	fortsättav2	försökav1	försökav2	glömmav1	glömmav2	kommav1	kommav2	lovav1	lovav2	planerav1	planerav2	riskerav1	riskerav2	slippav1	slippav2	slutav1	slutav2	vägrav1	vägrav2
user1215	1981			1.0	0.0	0.0	3.0			1.0	0.0									0.0	2.0		
user1216	1978			0.0	1.0	0.0	1.0																
user1217	1985			0.0	1.0			1.0	1.0	0.0	2.0												
user1218	1989			0.0	3.0	0.0	5.0	0.0	1.0	7.0	32.0							0.0	1.0	0.0	3.0		
user1219	1983			1.0	4.0	1.0	7.0			19.0	3.0	1.0	0.0					0.0	2.0			0.0	1.0
user1220	1978			0.0	1.0	0.0	15.0	0.0	1.0	7.0	21.0							0.0	3.0			0.0	1.0
user1221	1975			3.0	0.0	3.0	7.0			18.0	1.0							0.0	1.0				
user1222	1960			3.0	0.0	0.0	3.0	0.0	2.0	2.0	0.0					3.0	0.0			0.0	1.0		
user1223	1976			1.0	1.0	0.0	27.0			6.0	33.0			1.0	0.0	9.0	2.0			0.0	2.0	1.0	2.0
user1224	1987			1.0	0.0	0.0	20.0	0.0	1.0	8.0	17.0							0.0	9.0	0.0	3.0	0.0	6.0
user1225	1985			1.0	0.0	0.0	2.0			5.0	7.0											0.0	1.0
user1226	1972			2.0	0.0	9.0	4.0	4.0	1.0	27.0	0.0							0.0	4.0			0.0	1.0
user1227	1973			1.0	0.0	0.0	2.0			1.0	1.0			2.0	0.0	0.0	1.0						
user1228	1964			0.0	1.0	0.0	15.0	0.0	6.0	7.0	20.0			1.0	0.0			0.0	5.0	0.0	2.0	1.0	1.0
user1229	1976			1.0	1.0	0.0	5.0	0.0	1.0	15.0	46.0	0.0	1.0			1.0	0.0	0.0	2.0	0.0	4.0	0.0	6.0
user1230	1985			0.0	2.0	0.0	7.0	0.0	2.0	9.0	58.0	2.0	0.0			1.0	0.0	0.0	5.0			0.0	3.0
user1231	1971			1.0	1.0	0.0	5.0			1.0	7.0							0.0	2.0				
user1232	1982			0.0	1.0	0.0	6.0			3.0	5.0							0.0	1.0	0.0	1.0		
user1233	1980			1.0	0.0	0.0	6.0			4.0	17.0							0.0	2.0	0.0	1.0	0.0	1.0
user1234	1980			3.0	3.0	0.0	33.0	1.0	5.0	13.0	122.0							0.0	4.0	1.0	3.0		
user1235	1974			1.0	0.0	0.0	15.0	1.0	0.0	6.0	1.0	1.0	0.0					0.0	2.0				
user1236	1983			1.0	2.0	0.0	5.0	0.0	1.0	5.0	6.0							0.0	2.0			0.0	2.0
user1237	1983			1.0	1.0	0.0	19.0	0.0	1.0	1.0	34.0							0.0	5.0			1.0	7.0
user1238	1980			1.0	5.0	0.0	16.0	0.0	1.0	13.0	29.0									0.0	2.0		
user1239	1981			3.0	1.0	0.0	29.0	0.0	11.0	9.0	119.0	4.0	0.0	4.0	2.0			0.0	13.0	0.0	7.0	1.0	8.0
user1240	1974			0.0	1.0	0.0	6.0			0.0	1.0							0.0	2.0			1.0	1.0
user1241	1984			0.0	1.0			0.0	1.0	0.0	5.0							0.0	4.0			1.0	3.0
user1242	1980			2.0	1.0	1.0	13.0	0.0	1.0	23.0	3.0			1.0	0.0			0.0	1.0	0.0	8.0	1.0	1.0
user1243	1976			2.0	0.0	0.0	10.0	1.0	1.0	12.0	0.0	2.0	0.0					2.0	1.0			2.0	1.0
user1244	1976			2.0	0.0	11.0	22.0			45.0	0.0			5.0	0.0			0.0	13.0	0.0	9.0	3.0	2.0
user1245	1978			0.0	2.0	0.0	4.0	0.0	1.0	5.0	17.0	2.0	0.0	2.0	0.0					0.0	9.0		
user1246	1988			0.0	1.0	0.0	3.0			1.0	1.0	1.0	0.0					0.0	1.0	0.0	2.0		
user1247	1983			0.0	1.0	0.0	5.0			14.0	2.0							0.0	1.0				
user1248	1985			0.0	1.0	1.0	14.0	0.0	1.0	3.0	62.0					2.0	0.0	0.0	3.0	0.0	1.0	0.0	1.0
user1249	1984			1.0	1.0	0.0	22.0	0.0	8.0	9.0	0.0							0.0	6.0	0.0	3.0	0.0	1.0
user1250	1987			0.0	1.0	0.0	6.0	0.0	1.0	11.0	9.0							1.0	5.0	0.0	2.0	1.0	0.0
user1251	1982			1.0	2.0	2.0	7.0			21.0	0.0							0.0	3.0	0.0	2.0	1.0	2.0
user1252	1980			0.0	2.0	0.0	5.0	0.0	3.0	5.0	20.0	1.0	0.0					0.0	5.0	0.0	2.0		
user1253	1979			2.0	2.0	0.0	25.0	0.0	7.0	109.0	8.0	3.0	0.0	1.0	0.0			0.0	4.0	0.0	3.0	0.0	1.0
