year	speaker	innovativity	exposure_to_c	exposure_to_i
2012	trevliggrabb		0.0	0.0
2013	trevliggrabb		0.0	0.0
2014	trevliggrabb		0.0	0.0
2015	trevliggrabb		0.0	0.0
2016	trevliggrabb		0.0	0.0
2017	trevliggrabb		0.0	0.0
2018	trevliggrabb		0.0	0.0
2019	trevliggrabb		0.0	0.0
2020	trevliggrabb		0.0	0.0
2021	trevliggrabb	1.0	0.0	0.0
2022	trevliggrabb		0.0	0.0
2000	Hddv1		0.0	0.0
2001	Hddv1		0.0	0.0
2002	Hddv1		0.0	0.0
2003	Hddv1		0.0	0.0
2004	Hddv1		0.0	0.0
2005	Hddv1		0.0	0.0
2006	Hddv1		0.0	0.0
2007	Hddv1		0.0	0.0
2008	Hddv1		0.0	0.0
2009	Hddv1		0.0	0.0
2010	Hddv1		0.0	0.0
2011	Hddv1		0.0	0.0
2012	Hddv1		0.0	0.0
2013	Hddv1		0.0	0.0
2014	Hddv1		0.0	0.0
2015	Hddv1		0.0	0.0
2016	Hddv1		0.0	0.0
2017	Hddv1		0.0	0.0
2018	Hddv1		0.0	0.0
2019	Hddv1		0.0	0.0
2020	Hddv1		0.0	0.0
2021	Hddv1	1.0	0.0	0.0
2022	Hddv1		0.0	0.0
2000	SoberZealot		0.0	0.0
2001	SoberZealot		0.0	0.0
2002	SoberZealot		0.0	0.0
2003	SoberZealot		0.0	0.0
2004	SoberZealot		0.0	0.0
2005	SoberZealot		0.0	0.0
2006	SoberZealot		0.0	0.0
2007	SoberZealot		0.0	0.0
2008	SoberZealot		0.0	0.0
2009	SoberZealot		0.0	0.0
2010	SoberZealot		0.0	0.0
2011	SoberZealot		0.0	0.0
2012	SoberZealot		0.0	0.0
2013	SoberZealot		0.0	0.0
2014	SoberZealot		0.0	0.0
2015	SoberZealot		0.0	0.0
2016	SoberZealot		0.0	0.0
2017	SoberZealot		0.0	0.0
2018	SoberZealot		0.0	0.0
2019	SoberZealot		0.0	0.0
2020	SoberZealot		0.0	0.0
2021	SoberZealot	1.0	0.0	0.0
2022	SoberZealot		0.0	0.0
2000	olikafarger		0.0	0.0
2001	olikafarger		0.0	0.0
2002	olikafarger		0.0	0.0
2003	olikafarger		0.0	0.0
2004	olikafarger		0.0	0.0
2005	olikafarger		0.0	0.0
2006	olikafarger		0.0	0.0
2007	olikafarger		0.0	0.0
2008	olikafarger		0.0	0.0
2009	olikafarger		0.0	0.0
2010	olikafarger		0.0	0.0
2011	olikafarger		0.0	0.0
2012	olikafarger		0.0	0.0
2013	olikafarger		0.0	0.0
2014	olikafarger		0.0	0.0
2015	olikafarger		0.0	0.0
2016	olikafarger		0.0	0.0
2017	olikafarger		0.0	0.0
2018	olikafarger		0.0	0.0
2019	olikafarger		0.0	0.0
2020	olikafarger		0.0	0.0
2021	olikafarger	1.0	0.0	0.0
2022	olikafarger		0.0	0.0
2000	Reverent Mishap		0.0	0.0
2001	Reverent Mishap		0.0	0.0
2002	Reverent Mishap		0.0	0.0
2003	Reverent Mishap		0.0	0.0
2004	Reverent Mishap		0.0	0.0
2005	Reverent Mishap	0.0	0.0	0.0
2006	Reverent Mishap		0.0	0.0
2007	Reverent Mishap		0.0	0.0
2008	Reverent Mishap		0.0	0.0
2009	Reverent Mishap		0.0	0.0
2010	Reverent Mishap		0.0	0.0
2011	Reverent Mishap		0.0	0.0
2012	Reverent Mishap		0.0	0.0
2013	Reverent Mishap		0.0	0.0
2014	Reverent Mishap		0.0	0.0
2015	Reverent Mishap		0.0	0.0
2016	Reverent Mishap		0.0	0.0
2017	Reverent Mishap		0.0	0.0
2018	Reverent Mishap		0.0	0.0
2019	Reverent Mishap		0.0	0.0
2020	Reverent Mishap		0.0	0.0
2021	Reverent Mishap		0.0	0.0
2022	Reverent Mishap		0.0	0.0
2000	rtyuio		0.0	0.0
2001	rtyuio		0.0	0.0
2002	rtyuio		0.0	0.0
2003	rtyuio		0.0	0.0
2004	rtyuio		0.0	0.0
2005	rtyuio		0.0	0.0
2006	rtyuio		0.0	0.0
2007	rtyuio		0.0	0.0
2008	rtyuio		0.0	0.0
2009	rtyuio		0.0	0.0
2010	rtyuio		0.0	0.0
2011	rtyuio		0.0	0.0
2012	rtyuio		0.0	0.0
2013	rtyuio		0.0	0.0
2014	rtyuio		0.0	0.0
