verb2	abs	ipm
trycka	35	0.04314225175598887
svara	35	0.04314225175598887
resa	35	0.04314225175598887
be	35	0.04314225175598887
yttra	34	0.04190961599153205
höja	34	0.04190961599153205
leva	34	0.04190961599153205
vänta	33	0.04067698022707522
hävda	32	0.039444344462618394
framföra	32	0.039444344462618394
skicka	32	0.039444344462618394
lyssna	31	0.038211708698161574
flytta	31	0.038211708698161574
få	29	0.03574643716924792
föra	28	0.03451380140479109
rösta	28	0.03451380140479109
äta	27	0.03328116564033427
känna	26	0.032048529875877446
polisanmäla	26	0.032048529875877446
delta	26	0.032048529875877446
vägra	26	0.032048529875877446
engagera	25	0.030815894111420623
utnyttja	24	0.0295832583469638
konsumera	24	0.0295832583469638
föreslå	24	0.0295832583469638
sia	24	0.0295832583469638
arbeta	23	0.028350622582506976
handla	23	0.028350622582506976
klaga	23	0.028350622582506976
kalla	22	0.027117986818050152
sjunga	22	0.027117986818050152
ändra	22	0.027117986818050152
kräva	22	0.027117986818050152
utsätta	22	0.027117986818050152
genomföra	22	0.027117986818050152
räkna	21	0.025885351053593325
skjuta	21	0.025885351053593325
besöka	20	0.0246527152891365
stöta	20	0.0246527152891365
hoppa	20	0.0246527152891365
tippa	20	0.0246527152891365
kasta	19	0.023420079524679675
ringa	19	0.023420079524679675
nämna	18	0.022187443760222848
förändra	18	0.022187443760222848
peka	18	0.022187443760222848
leka	18	0.022187443760222848
jobba	18	0.022187443760222848
sova	18	0.022187443760222848
spekulera	18	0.022187443760222848
läsa	18	0.022187443760222848
rapportera	18	0.022187443760222848
uppge	17	0.020954807995766024
sälja	17	0.020954807995766024
utlova	17	0.020954807995766024
kontakta	17	0.020954807995766024
växa	17	0.020954807995766024
vila	16	0.019722172231309197
sänka	16	0.019722172231309197
skämta	16	0.019722172231309197
höra	16	0.019722172231309197
bejaka	16	0.019722172231309197
yppa	16	0.019722172231309197
dela	15	0.018489536466852374
dricka	15	0.018489536466852374
stoppa	15	0.018489536466852374
tycka	15	0.018489536466852374
attackera	15	0.018489536466852374
föda	15	0.018489536466852374
skaffa	14	0.017256900702395547
gripa	14	0.017256900702395547
bråka	14	0.017256900702395547
formulera	14	0.017256900702395547
anta	14	0.017256900702395547
anfalla	14	0.017256900702395547
tänja	14	0.017256900702395547
vinna	14	0.017256900702395547
beställa	14	0.017256900702395547
avslöja	14	0.017256900702395547
nyanställa	13	0.016024264937938723
garantera	13	0.016024264937938723
utesluta	13	0.016024264937938723
–	13	0.016024264937938723
anförtro	12	0.0147916291734819
tacka	12	0.0147916291734819
konfrontera	12	0.0147916291734819
blanda	12	0.0147916291734819
vara	12	0.0147916291734819
reagera	12	0.0147916291734819
publicera	12	0.0147916291734819
